iter	Passed	Remaining
0	469	469409
1	1070	534145
2	1455	483692
3	1945	484414
4	2226	443148
5	2534	419901
6	2893	410427
7	3158	391641
8	3553	391306
9	3882	384399
10	4169	374885
11	4407	362883
12	4733	359406
13	5090	358547
14	5454	358202
15	5790	356118
16	6116	353693
17	6377	347929
18	6714	346693
19	6989	342490
20	7199	335640
21	7390	328524
22	7566	321410
23	7716	313819
24	7895	307941
25	8067	302226
26	8242	297020
27	8400	291622
28	8560	286629
29	8718	281891
30	8869	277250
31	9024	272996
32	9172	268787
33	9330	265085
34	9486	261555
35	9636	258042
36	9781	254587
37	9932	251456
38	10072	248189
39	10212	245100
40	10344	241964
41	10472	238865
42	10611	236170
43	10755	233681
44	10899	231320
45	11286	234071
46	11414	231442
47	11540	228895
48	11684	226771
49	11831	224806
50	11982	222972
51	12121	220977
52	12246	218814
53	12375	216797
54	12526	215220
55	12661	213444
56	12791	211617
57	12932	210045
58	13064	208373
59	13210	206961
60	13336	205295
61	13471	203809
62	13621	202597
63	13771	201408
64	13904	200012
65	14036	198631
66	14179	197460
67	14309	196124
68	14453	195015
69	14570	193575
70	14712	192502
71	14831	191156
72	14968	190078
73	15090	188834
74	15250	188088
75	15393	187157
76	15547	186372
77	15693	185501
78	15825	184501
79	15973	183696
80	16120	182903
81	16252	181948
82	16398	181170
83	16536	180324
84	16694	179706
85	16829	178861
86	16971	178101
87	17099	177213
88	17227	176338
89	17370	175640
90	17499	174805
91	17643	174130
92	17772	173325
93	17907	172601
94	18041	171867
95	18188	171271
96	18342	170753
97	18467	169979
98	18607	169346
99	18730	168574
100	18853	167817
101	18986	167153
102	19128	166586
103	19245	165810
104	19372	165131
105	19516	164604
106	19659	164077
107	19783	163396
108	19905	162716
109	20041	162155
110	20189	161701
111	20328	161176
112	20446	160496
113	20584	159981
114	20716	159430
115	20841	158828
116	20977	158314
117	21119	157862
118	21265	157436
119	21395	156898
120	21519	156327
121	21650	155811
122	21776	155270
123	21917	154839
124	22047	154329
125	22192	153939
126	22322	153444
127	22448	152929
128	22574	152424
129	22717	152035
130	22862	151657
131	23006	151284
132	23146	150886
133	23281	150459
134	23411	150006
135	23578	149792
136	23716	149395
137	23840	148918
138	23978	148531
139	24122	148181
140	24254	147762
141	24382	147324
142	24526	146989
143	24668	146643
144	24797	146221
145	24934	145847
146	25063	145435
147	25191	145019
148	25320	144614
149	25472	144345
150	25619	144044
151	25748	143650
152	25880	143272
153	26039	143047
154	26200	142832
155	26364	142638
156	26523	142413
157	26687	142222
158	26831	141919
159	26981	141654
160	27142	141446
161	27288	141156
162	27441	140913
163	27593	140659
164	27736	140365
165	27875	140050
166	28011	139724
167	28161	139467
168	28316	139237
169	28462	138963
170	28627	138784
171	28796	138625
172	28946	138373
173	29114	138207
174	29276	138018
175	29454	137902
176	29614	137701
177	29769	137476
178	29904	137161
179	30040	136849
180	30181	136565
181	30320	136275
182	30454	135965
183	30606	135733
184	30749	135464
185	30882	135153
186	31004	134794
187	31157	134572
188	31304	134329
189	31430	133994
190	31558	133668
191	31685	133344
192	31830	133095
193	31957	132771
194	32096	132500
195	32241	132254
196	32382	131995
197	32526	131749
198	32670	131504
199	32801	131206
200	32939	130939
201	33080	130683
202	33218	130418
203	33366	130193
204	33617	130369
205	33928	130771
206	34072	130529
207	34200	130225
